1901,Chemistry,Jacobus Henricus van 't Hoff
1901,Literature,Sully Prudhomme
1901,Medicine,Emil Adolf von Behring
1901,Peace,Frédéric Passy
1901,Peace,Henry Dunant
1901,Physics,Wilhelm Röntgen
1902,Chemistry,Hermann Emil Fischer
1902,Literature,Theodor Mommsen
1902,Medicine,Ronald Ross
1902,Peace,Charles Albert Gobat
1902,Peace,Élie Ducommun
1902,Physics,Hendrik Lorentz
1902,Physics,Pieter Zeeman
1903,Chemistry,Svante Arrhenius
1903,Literature,Bjørnstjerne Bjørnson
1903,Medicine,Niels Ryberg Finsen
1903,Peace,Randal Cremer
1903,Physics,Henri Becquerel
1903,Physics,Marie Curie
1903,Physics,Pierre Curie
1904,Chemistry,William Ramsay
1904,Literature,Frédéric Mistral
1904,Literature,José Echegaray
1904,Medicine,Ivan Pavlov
1904,Peace,Institut de Droit International
1904,Physics,Lord Rayleigh
1905,Chemistry,Adolf von Baeyer
1905,Literature,Henryk Sienkiewicz
1905,Medicine,Robert Koch
1905,Peace,Bertha von Suttner
1905,Physics,Philipp Lenard
1906,Chemistry,Henri Moissan
1906,Literature,Giosuè Carducci
1906,Medicine,Camillo Golgi
1906,Medicine,Santiago Ramón y Cajal
1906,Peace,Theodore Roosevelt
1906,Physics,J. J. Thomson
1907,Chemistry,Eduard Buchner
1907,Literature,Rudyard Kipling
1907,Medicine,Charles Louis Alphonse Laveran
1907,Peace,Ernesto Teodoro Moneta
1907,Peace,Louis Renault
1907,Physics,Albert Abraham Michelson
1908,Chemistry,Ernest Rutherford
1908,Literature,Rudolf Christoph Eucken
1908,Medicine,Paul Ehrlich
1908,Medicine,Élie Metchnikoff
1908,Peace,Fredrik Bajer
1908,Peace,Klas Pontus Arnoldson
1908,Physics,Gabriel Lippmann
1909,Chemistry,Wilhelm Ostwald
1909,Literature,Selma Lagerlöf
1909,Medicine,Emil Theodor Kocher
1909,Peace,Auguste Marie François Beernaert
1909,Peace,Paul-Henri-Benjamin d'Estournelles de Constant
1909,Physics,Guglielmo Marconi
1909,Physics,Karl Ferdinand Braun
1910,Chemistry,Otto Wallach
1910,Literature,Paul Heyse
1910,Medicine,Albrecht Kossel
1910,Peace,International Peace Bureau
1910,Physics,Johannes Diderik van der Waals
1911,Chemistry,Marie Curie
1911,Literature,Maurice Maeterlinck
1911,Medicine,Allvar Gullstrand
1911,Peace,Alfred Hermann Fried
1911,Peace,Tobias Asser
1911,Physics,Wilhelm Wien
1912,Chemistry,Paul Sabatier
1912,Chemistry,Victor Grignard
1912,Literature,Gerhart Hauptmann
1912,Medicine,Alexis Carrel
1912,Peace,Elihu Root
1912,Physics,Gustaf Dalén
1913,Chemistry,Alfred Werner
1913,Literature,Rabindranath Tagore
1913,Medicine,Charles Richet
1913,Peace,Henri La Fontaine
1913,Physics,Heike Kamerlingh Onnes
1914,Chemistry,Theodore William Richards
1914,Medicine,Robert Bárány
1914,Physics,Max von Laue
1915,Chemistry,Richard Willstätter
1915,Literature,Romain Rolland
1915,Physics,William Henry Bragg
1915,Physics,William Lawrence Bragg
1916,Literature,Verner von Heidenstam
1917,Literature,Henrik Pontoppidan
1917,Literature,Karl Adolph Gjellerup
1917,Peace,International Committee of the Red Cross
1917,Physics,Charles Glover Barkla
1918,Chemistry,Fritz Haber
1918,Physics,Max Planck
1919,Literature,Carl Spitteler
1919,Medicine,Jules Bordet
1919,Peace,Woodrow Wilson
1919,Physics,Johannes Stark
1920,Chemistry,Walther Nernst
1920,Literature,Knut Hamsun
1920,Medicine,August Krogh
1920,Peace,Léon Bourgeois
1920,Physics,Charles Édouard Guillaume
1921,Chemistry,Frederick Soddy
1921,Literature,Anatole France
1921,Peace,Christian Lous Lange
1921,Peace,Hjalmar Branting
1921,Physics,Albert Einstein
1922,Chemistry,Francis William Aston
1922,Literature,Jacinto Benavente
1922,Medicine,Archibald Hill
1922,Medicine,Otto Fritz Meyerhof
1922,Peace,Fridtjof Nansen
1922,Physics,Niels Bohr
1923,Chemistry,Fritz Pregl
1923,Literature,W. B. Yeats
1923,Medicine,Frederick Banting
1923,Medicine,John James Rickard Macleod
1923,Physics,Robert Andrews Millikan
1924,Literature,Władysław Reymont
1924,Medicine,Willem Einthoven
1924,Physics,Manne Siegbahn
1925,Chemistry,Richard Adolf Zsigmondy
1925,Literature,George Bernard Shaw
1925,Peace,Austen Chamberlain
1925,Peace,Charles G. Dawes
1925,Physics,Gustav Ludwig Hertz
1925,Physics,James Franck
1926,Chemistry,Theodor Svedberg
1926,Literature,Grazia Deledda
1926,Medicine,Johannes Fibiger
1926,Peace,Aristide Briand
1926,Peace,Gustav Stresemann
1926,Physics,Jean Baptiste Perrin
1927,Chemistry,Heinrich Otto Wieland
1927,Literature,Henri Bergson
1927,Medicine,Julius Wagner-Jauregg
1927,Peace,Ferdinand Buisson
1927,Peace,Ludwig Quidde
1927,Physics,Arthur Compton
1927,Physics,Charles Thomson Rees Wilson
1928,Chemistry,Adolf Otto Reinhold Windaus
1928,Literature,Sigrid Undset
1928,Medicine,Charles Nicolle
1928,Physics,Owen Willans Richardson
1929,Chemistry,Arthur Harden
1929,Chemistry,Hans von Euler-Chelpin
1929,Literature,Thomas Mann
1929,Medicine,Christiaan Eijkman
1929,Medicine,Frederick Gowland Hopkins
1929,Peace,Frank B. Kellogg
1929,Physics,Louis de Broglie
1930,Chemistry,Hans Fischer
1930,Literature,Sinclair Lewis
1930,Medicine,Karl Landsteiner
1930,Peace,Nathan Söderblom
1930,Physics,C. V. Raman
1931,Chemistry,Carl Bosch
1931,Chemistry,Friedrich Bergius
1931,Literature,Erik Axel Karlfeldt
1931,Medicine,Otto Heinrich Warburg
1931,Peace,Jane Addams
1931,Peace,Nicholas Murray Butler
1932,Chemistry,Irving Langmuir
1932,Literature,John Galsworthy
1932,Medicine,Charles Scott Sherrington
1932,Medicine,Edgar Adrian
1932,Physics,Werner Heisenberg
1933,Literature,Ivan Bunin
1933,Medicine,Thomas Hunt Morgan
1933,Peace,Norman Angell
1933,Physics,Erwin Schrödinger
1933,Physics,Paul Dirac
1934,Chemistry,Harold Urey
1934,Literature,Luigi Pirandello
1934,Medicine,George Minot
1934,Medicine,George Whipple
1934,Medicine,William P. Murphy
1934,Peace,Arthur Henderson
1935,Chemistry,Frédéric Joliot-Curie
1935,Chemistry,Irène Joliot-Curie
1935,Medicine,Hans Spemann
1935,Peace,Carl von Ossietzky
1935,Physics,James Chadwick
1936,Chemistry,Peter Debye
1936,Literature,Eugene O'Neill
1936,Medicine,Henry Hallett Dale
1936,Medicine,Otto Loewi
1936,Peace,Carlos Saavedra Lamas
1936,Physics,Carl David Anderson
1936,Physics,Victor Francis Hess
1937,Chemistry,Norman Haworth
1937,Chemistry,Paul Karrer
1937,Literature,Roger Martin du Gard
1937,Medicine,Albert Szent-Györgyi
1937,Peace,The Viscount Cecil of Chelwood
1937,Physics,Clinton Davisson
